Account No,Name,Account Type,Balance,Branch
100610,Cust_610,Savings,763564,Delhi
100611,Cust_611,Savings,919086,Chennai
100612,Cust_612,Current,112361,Mumbai
100613,Cust_613,Savings,486876,Chennai
100614,Cust_614,Savings,729027,Mumbai
100615,Cust_615,Savings,995283,Chennai
100616,Cust_616,Fixed Deposit,57363,Chennai
100617,Cust_617,Current,634342,Chennai
100618,Cust_618,Current,461184,Kolkata
100619,Cust_619,Current,295398,Kolkata
100620,Cust_620,Fixed Deposit,342847,Delhi
100621,Cust_621,Fixed Deposit,985785,Mumbai
100622,Cust_622,Current,873650,Mumbai
100623,Cust_623,Current,760843,Kolkata
100624,Cust_624,Savings,26549,Delhi
100625,Cust_625,Fixed Deposit,530966,Delhi
100626,Cust_626,Current,139169,Chennai
100627,Cust_627,Savings,115614,Kolkata
100628,Cust_628,Fixed Deposit,68491,Kolkata
100629,Cust_629,Fixed Deposit,84676,Chennai
100630,Cust_630,Savings,101655,Delhi
100631,Cust_631,Current,146903,Chennai
100632,Cust_632,Current,442644,Chennai
100633,Cust_633,Fixed Deposit,55468,Kolkata
100634,Cust_634,Fixed Deposit,791068,Chennai
100635,Cust_635,Savings,888721,Delhi
100636,Cust_636,Savings,342937,Chennai
100637,Cust_637,Savings,946989,Mumbai
100638,Cust_638,Savings,122231,Chennai
100639,Cust_639,Fixed Deposit,252876,Chennai
100640,Cust_640,Current,853417,Kolkata
100641,Cust_641,Fixed Deposit,233319,Mumbai
100642,Cust_642,Fixed Deposit,295646,Delhi
100643,Cust_643,Fixed Deposit,614355,Mumbai
100644,Cust_644,Savings,804601,Kolkata
100645,Cust_645,Current,978711,Delhi
100646,Cust_646,Savings,841778,Delhi
100647,Cust_647,Fixed Deposit,218233,Mumbai
100648,Cust_648,Fixed Deposit,739467,Chennai
100649,Cust_649,Fixed Deposit,335772,Mumbai
100650,Cust_650,Savings,280114,Delhi
100651,Cust_651,Current,549494,Kolkata
100652,Cust_652,Fixed Deposit,598731,Chennai
100653,Cust_653,Fixed Deposit,417941,Mumbai
100654,Cust_654,Fixed Deposit,220778,Mumbai
100655,Cust_655,Fixed Deposit,640292,Kolkata
100656,Cust_656,Savings,473813,Mumbai
100657,Cust_657,Savings,511454,Delhi
100658,Cust_658,Fixed Deposit,445366,Mumbai
100659,Cust_659,Fixed Deposit,701062,Mumbai
100660,Cust_660,Savings,289367,Mumbai
100661,Cust_661,Savings,511572,Chennai
100662,Cust_662,Current,792090,Chennai
100663,Cust_663,Fixed Deposit,314395,Mumbai
100664,Cust_664,Current,815406,Mumbai
100665,Cust_665,Current,265413,Delhi
100666,Cust_666,Savings,80654,Kolkata
100667,Cust_667,Current,130479,Mumbai
100668,Cust_668,Savings,11267,Delhi
100669,Cust_669,Current,545189,Delhi
100670,Cust_670,Savings,350093,Delhi
100671,Cust_671,Savings,874909,Chennai
100672,Cust_672,Fixed Deposit,178887,Delhi
100673,Cust_673,Current,819319,Delhi
100674,Cust_674,Fixed Deposit,541549,Kolkata
100675,Cust_675,Current,442865,Chennai
100676,Cust_676,Fixed Deposit,381444,Delhi
100677,Cust_677,Savings,744469,Chennai
100678,Cust_678,Savings,622701,Chennai
100679,Cust_679,Fixed Deposit,628277,Delhi
100680,Cust_680,Fixed Deposit,436356,Chennai
100681,Cust_681,Current,463316,Chennai
100682,Cust_682,Current,712315,Chennai
100683,Cust_683,Current,347125,Kolkata
100684,Cust_684,Fixed Deposit,970328,Delhi
100685,Cust_685,Savings,18850,Mumbai
100686,Cust_686,Fixed Deposit,599023,Mumbai
100687,Cust_687,Fixed Deposit,530592,Mumbai
100688,Cust_688,Savings,573306,Kolkata
100689,Cust_689,Current,949828,Mumbai
100690,Cust_690,Savings,914342,Kolkata
100691,Cust_691,Savings,118570,Mumbai
100692,Cust_692,Current,540576,Kolkata
100693,Cust_693,Savings,770305,Mumbai
100694,Cust_694,Fixed Deposit,869739,Delhi
100695,Cust_695,Fixed Deposit,434846,Kolkata
100696,Cust_696,Fixed Deposit,654751,Mumbai
100697,Cust_697,Fixed Deposit,247613,Chennai
100698,Cust_698,Savings,402530,Delhi
100699,Cust_699,Savings,874735,Mumbai
100700,Cust_700,Savings,696900,Delhi
100701,Cust_701,Fixed Deposit,161976,Chennai
100702,Cust_702,Savings,403817,Kolkata
100703,Cust_703,Fixed Deposit,358136,Delhi
100704,Cust_704,Current,91414,Kolkata
100705,Cust_705,Fixed Deposit,220498,Chennai
100706,Cust_706,Current,633163,Kolkata
100707,Cust_707,Current,457661,Chennai
100708,Cust_708,Fixed Deposit,190161,Mumbai
100709,Cust_709,Savings,811769,Kolkata
100710,Cust_710,Savings,271171,Kolkata
100711,Cust_711,Fixed Deposit,264754,Mumbai
100712,Cust_712,Savings,290442,Chennai
100713,Cust_713,Current,631408,Mumbai
100714,Cust_714,Fixed Deposit,584657,Mumbai
100715,Cust_715,Savings,172467,Delhi
100716,Cust_716,Fixed Deposit,487416,Kolkata
100717,Cust_717,Savings,315493,Chennai
100718,Cust_718,Current,466603,Kolkata
100719,Cust_719,Current,679358,Chennai
100720,Cust_720,Fixed Deposit,620863,Mumbai
100721,Cust_721,Current,345129,Mumbai
100722,Cust_722,Savings,10294,Chennai
100723,Cust_723,Current,410511,Delhi
100724,Cust_724,Savings,949278,Delhi
100725,Cust_725,Savings,775026,Delhi
100726,Cust_726,Current,871091,Kolkata
100727,Cust_727,Fixed Deposit,921350,Chennai
100728,Cust_728,Fixed Deposit,91072,Delhi
100729,Cust_729,Fixed Deposit,373975,Mumbai
100730,Cust_730,Fixed Deposit,801530,Mumbai
100731,Cust_731,Savings,196807,Delhi
100732,Cust_732,Savings,18611,Kolkata
100733,Cust_733,Savings,24824,Kolkata
100734,Cust_734,Savings,152202,Delhi
100735,Cust_735,Fixed Deposit,581892,Kolkata
100736,Cust_736,Fixed Deposit,554552,Delhi
100737,Cust_737,Current,121565,Delhi
100738,Cust_738,Savings,872751,Delhi
100739,Cust_739,Fixed Deposit,569326,Chennai
100740,Cust_740,Savings,713419,Chennai
100741,Cust_741,Fixed Deposit,636805,Delhi
100742,Cust_742,Savings,743909,Delhi
100743,Cust_743,Savings,200975,Mumbai
100744,Cust_744,Savings,555388,Delhi
100745,Cust_745,Fixed Deposit,687485,Mumbai
100746,Cust_746,Savings,276704,Kolkata
100747,Cust_747,Fixed Deposit,698818,Chennai
100748,Cust_748,Current,33785,Delhi
100749,Cust_749,Current,612227,Chennai
100750,Cust_750,Current,721401,Mumbai
100751,Cust_751,Fixed Deposit,892079,Delhi
100752,Cust_752,Current,334778,Chennai
100753,Cust_753,Current,370971,Chennai
100754,Cust_754,Savings,89153,Mumbai
100755,Cust_755,Current,56493,Mumbai
100756,Cust_756,Current,970329,Mumbai
100757,Cust_757,Fixed Deposit,886092,Kolkata
100758,Cust_758,Savings,97397,Chennai
100759,Cust_759,Fixed Deposit,907945,Chennai
100760,Cust_760,Fixed Deposit,586606,Kolkata
100761,Cust_761,Fixed Deposit,96373,Delhi
100762,Cust_762,Savings,97427,Mumbai
100763,Cust_763,Fixed Deposit,850795,Chennai
100764,Cust_764,Current,640694,Delhi
100765,Cust_765,Savings,961655,Delhi
100766,Cust_766,Fixed Deposit,57011,Chennai
100767,Cust_767,Current,698241,Kolkata
100768,Cust_768,Savings,282541,Mumbai
100769,Cust_769,Savings,478515,Chennai
100770,Cust_770,Savings,171571,Delhi
100771,Cust_771,Current,324481,Chennai
100772,Cust_772,Current,279001,Chennai
100773,Cust_773,Current,762845,Delhi
100774,Cust_774,Current,883366,Chennai
100775,Cust_775,Fixed Deposit,646060,Delhi
100776,Cust_776,Savings,614997,Mumbai
100777,Cust_777,Fixed Deposit,984306,Mumbai
100778,Cust_778,Savings,703037,Mumbai
100779,Cust_779,Current,697283,Mumbai
100780,Cust_780,Fixed Deposit,899745,Chennai
100781,Cust_781,Savings,330378,Mumbai
100782,Cust_782,Fixed Deposit,919715,Delhi
100783,Cust_783,Savings,618112,Delhi
100784,Cust_784,Current,11337,Delhi
100785,Cust_785,Current,339020,Kolkata
100786,Cust_786,Fixed Deposit,176643,Kolkata
100787,Cust_787,Current,810196,Delhi
100788,Cust_788,Savings,211075,Mumbai
100789,Cust_789,Current,132388,Chennai
100790,Cust_790,Fixed Deposit,672132,Delhi
100791,Cust_791,Fixed Deposit,261559,Delhi
100792,Cust_792,Current,757695,Delhi
100793,Cust_793,Current,79772,Chennai
100794,Cust_794,Savings,860636,Kolkata
100795,Cust_795,Fixed Deposit,658135,Delhi
100796,Cust_796,Current,654584,Kolkata
100797,Cust_797,Fixed Deposit,431751,Delhi
100798,Cust_798,Current,3899,Mumbai
100799,Cust_799,Current,243144,Kolkata
100800,Cust_800,Fixed Deposit,507330,Delhi
100801,Cust_801,Current,944891,Mumbai
100802,Cust_802,Fixed Deposit,696092,Kolkata
100803,Cust_803,Fixed Deposit,336429,Chennai
100804,Cust_804,Savings,830580,Chennai
100805,Cust_805,Savings,116538,Kolkata
100806,Cust_806,Fixed Deposit,982283,Delhi
100807,Cust_807,Current,154977,Delhi
100808,Cust_808,Savings,343005,Delhi
100809,Cust_809,Current,407292,Chennai
100810,Cust_810,Current,866373,Mumbai
100811,Cust_811,Current,168872,Delhi
100812,Cust_812,Fixed Deposit,751106,Chennai
100813,Cust_813,Savings,515944,Kolkata
100814,Cust_814,Fixed Deposit,907484,Delhi
100815,Cust_815,Savings,639963,Mumbai
100816,Cust_816,Current,410829,Delhi
100817,Cust_817,Current,222729,Kolkata
100818,Cust_818,Fixed Deposit,753259,Delhi
100819,Cust_819,Savings,150951,Mumbai
100820,Cust_820,Fixed Deposit,678170,Delhi
100821,Cust_821,Fixed Deposit,175295,Delhi
100822,Cust_822,Fixed Deposit,926230,Kolkata
100823,Cust_823,Current,571330,Kolkata
100824,Cust_824,Fixed Deposit,571266,Chennai
100825,Cust_825,Current,457225,Chennai
100826,Cust_826,Current,433717,Chennai
100827,Cust_827,Savings,282503,Chennai
100828,Cust_828,Fixed Deposit,51981,Delhi
100829,Cust_829,Fixed Deposit,642735,Chennai
100830,Cust_830,Fixed Deposit,810211,Kolkata
100831,Cust_831,Savings,740803,Mumbai
100832,Cust_832,Current,77139,Kolkata
100833,Cust_833,Fixed Deposit,200663,Chennai
100834,Cust_834,Savings,913967,Chennai
100835,Cust_835,Savings,677660,Delhi
100836,Cust_836,Current,964955,Mumbai
100837,Cust_837,Current,620378,Mumbai
100838,Cust_838,Fixed Deposit,781162,Mumbai
100839,Cust_839,Fixed Deposit,753143,Delhi
100840,Cust_840,Savings,394600,Kolkata
100841,Cust_841,Savings,34238,Delhi
100842,Cust_842,Savings,280571,Delhi
100843,Cust_843,Fixed Deposit,388587,Chennai
100844,Cust_844,Current,927657,Chennai
100845,Cust_845,Current,597676,Kolkata
100846,Cust_846,Fixed Deposit,336298,Chennai
100847,Cust_847,Current,495765,Kolkata
100848,Cust_848,Current,302916,Delhi
100849,Cust_849,Fixed Deposit,901247,Chennai
100850,Cust_850,Current,736393,Delhi
100851,Cust_851,Savings,615027,Kolkata
100852,Cust_852,Current,154334,Mumbai
100853,Cust_853,Fixed Deposit,139145,Mumbai
100854,Cust_854,Current,465026,Mumbai
100855,Cust_855,Current,318698,Chennai
100856,Cust_856,Current,702222,Kolkata
100857,Cust_857,Current,488714,Chennai
100858,Cust_858,Current,300500,Mumbai
100859,Cust_859,Fixed Deposit,436208,Chennai
100860,Cust_860,Fixed Deposit,632742,Kolkata
100861,Cust_861,Fixed Deposit,326816,Delhi
100862,Cust_862,Fixed Deposit,99028,Kolkata
100863,Cust_863,Savings,207031,Kolkata
100864,Cust_864,Savings,262511,Mumbai
100865,Cust_865,Current,235360,Chennai
100866,Cust_866,Fixed Deposit,529848,Kolkata
100867,Cust_867,Fixed Deposit,85978,Chennai
100868,Cust_868,Fixed Deposit,351115,Kolkata
100869,Cust_869,Current,247383,Kolkata
100870,Cust_870,Current,739120,Mumbai
100871,Cust_871,Savings,367502,Kolkata
100872,Cust_872,Fixed Deposit,911996,Chennai
100873,Cust_873,Current,234675,Delhi
100874,Cust_874,Fixed Deposit,408622,Mumbai
100875,Cust_875,Current,308949,Mumbai
100876,Cust_876,Fixed Deposit,751129,Chennai
100877,Cust_877,Fixed Deposit,498078,Mumbai
100878,Cust_878,Savings,530395,Kolkata
100879,Cust_879,Fixed Deposit,563616,Delhi
100880,Cust_880,Savings,44690,Delhi
100881,Cust_881,Fixed Deposit,788607,Kolkata
100882,Cust_882,Savings,630849,Delhi
100883,Cust_883,Current,297657,Kolkata
100884,Cust_884,Current,792759,Chennai
100885,Cust_885,Current,561426,Mumbai
100886,Cust_886,Fixed Deposit,742688,Kolkata
100887,Cust_887,Fixed Deposit,472382,Kolkata
100888,Cust_888,Current,333309,Kolkata
100889,Cust_889,Savings,585773,Chennai
100890,Cust_890,Current,962863,Kolkata
100891,Cust_891,Current,180376,Kolkata
100892,Cust_892,Fixed Deposit,721025,Delhi
100893,Cust_893,Current,126569,Kolkata
100894,Cust_894,Current,271373,Mumbai
100895,Cust_895,Fixed Deposit,2271,Chennai
100896,Cust_896,Savings,864274,Mumbai
100897,Cust_897,Fixed Deposit,604294,Mumbai
100898,Cust_898,Current,838709,Chennai
100899,Cust_899,Current,266523,Delhi
100900,Cust_900,Savings,352669,Mumbai
100901,Cust_901,Fixed Deposit,552953,Delhi
100902,Cust_902,Current,150897,Chennai
100903,Cust_903,Savings,658832,Mumbai
100904,Cust_904,Fixed Deposit,680535,Chennai
100905,Cust_905,Fixed Deposit,374777,Chennai
100906,Cust_906,Savings,437536,Delhi
100907,Cust_907,Savings,23563,Chennai
100908,Cust_908,Savings,556973,Kolkata
100909,Cust_909,Savings,909865,Chennai
100910,Cust_910,Fixed Deposit,796486,Delhi
100911,Cust_911,Current,95043,Delhi
100912,Cust_912,Fixed Deposit,354777,Delhi
100913,Cust_913,Savings,91416,Kolkata
100914,Cust_914,Savings,20002,Chennai
100915,Cust_915,Fixed Deposit,307767,Delhi
100916,Cust_916,Current,99551,Chennai
100917,Cust_917,Fixed Deposit,232929,Chennai
100918,Cust_918,Current,886719,Delhi
100919,Cust_919,Savings,428328,Delhi
100920,Cust_920,Current,478946,Kolkata
100921,Cust_921,Fixed Deposit,573289,Mumbai
100922,Cust_922,Fixed Deposit,677027,Kolkata
100923,Cust_923,Savings,577314,Mumbai
100924,Cust_924,Savings,386883,Kolkata
100925,Cust_925,Current,755681,Chennai
100926,Cust_926,Current,231634,Delhi
100927,Cust_927,Fixed Deposit,293063,Kolkata
100928,Cust_928,Current,144262,Mumbai
100929,Cust_929,Savings,738586,Chennai
100930,Cust_930,Fixed Deposit,777538,Chennai
100931,Cust_931,Savings,581196,Kolkata
100932,Cust_932,Savings,240918,Mumbai
100933,Cust_933,Current,67453,Kolkata
100934,Cust_934,Savings,631485,Mumbai
100935,Cust_935,Fixed Deposit,848042,Delhi
100936,Cust_936,Current,263928,Kolkata
100937,Cust_937,Savings,579497,Delhi
100938,Cust_938,Fixed Deposit,80752,Delhi
100939,Cust_939,Current,484900,Mumbai
100940,Cust_940,Savings,968394,Mumbai
100941,Cust_941,Fixed Deposit,741793,Mumbai
100942,Cust_942,Fixed Deposit,585783,Kolkata
100943,Cust_943,Current,187335,Delhi
100944,Cust_944,Current,397760,Chennai
100945,Cust_945,Current,123549,Delhi
100946,Cust_946,Savings,783513,Kolkata
100947,Cust_947,Current,828011,Kolkata
100948,Cust_948,Current,784641,Kolkata
100949,Cust_949,Current,960877,Mumbai
100950,Cust_950,Savings,133166,Kolkata
100951,Cust_951,Savings,241907,Kolkata
100952,Cust_952,Current,980175,Delhi
100953,Cust_953,Current,191828,Mumbai
100954,Cust_954,Savings,194752,Kolkata
100955,Cust_955,Current,886110,Kolkata
100956,Cust_956,Current,476354,Kolkata
100957,Cust_957,Savings,883846,Chennai
100958,Cust_958,Savings,409557,Chennai
100959,Cust_959,Savings,122751,Chennai
100960,Cust_960,Current,905379,Delhi
100961,Cust_961,Fixed Deposit,34593,Kolkata
100962,Cust_962,Current,460070,Kolkata
100963,Cust_963,Fixed Deposit,154185,Delhi
100964,Cust_964,Current,827686,Chennai
100965,Cust_965,Fixed Deposit,841361,Chennai
100966,Cust_966,Fixed Deposit,658508,Mumbai
100967,Cust_967,Current,955032,Kolkata
100968,Cust_968,Savings,351456,Mumbai
100969,Cust_969,Savings,700623,Delhi
100970,Cust_970,Savings,540240,Kolkata
100971,Cust_971,Savings,169046,Chennai
100972,Cust_972,Current,540462,Mumbai
100973,Cust_973,Current,954139,Delhi
100974,Cust_974,Current,227776,Mumbai
100975,Cust_975,Fixed Deposit,283357,Chennai
100976,Cust_976,Fixed Deposit,822671,Kolkata
100977,Cust_977,Fixed Deposit,208320,Delhi
100978,Cust_978,Fixed Deposit,814496,Delhi
100979,Cust_979,Savings,677775,Kolkata
100980,Cust_980,Fixed Deposit,768215,Mumbai
100981,Cust_981,Savings,828551,Kolkata
100982,Cust_982,Current,43605,Chennai
100983,Cust_983,Fixed Deposit,730065,Delhi
100984,Cust_984,Fixed Deposit,244510,Delhi
100985,Cust_985,Fixed Deposit,485039,Chennai
100986,Cust_986,Savings,326212,Kolkata
100987,Cust_987,Current,776871,Kolkata
100988,Cust_988,Fixed Deposit,164852,Kolkata
100989,Cust_989,Savings,514439,Chennai
100990,Cust_990,Savings,961218,Chennai
100991,Cust_991,Savings,945055,Delhi
100992,Cust_992,Savings,417517,Mumbai
100993,Cust_993,Savings,336668,Chennai
100994,Cust_994,Savings,460553,Mumbai
100995,Cust_995,Savings,639808,Kolkata
100996,Cust_996,Fixed Deposit,974967,Delhi
100997,Cust_997,Savings,875944,Delhi
100998,Cust_998,Current,614573,Delhi
100999,Cust_999,Savings,447830,Kolkata
101000,Cust_1000,Savings,913768,Kolkata
101001,Cust_1001,Savings,461817,Kolkata
101002,Cust_1002,Savings,149854,Delhi
101003,Cust_1003,Current,663875,Chennai
101004,Cust_1004,Current,557981,Kolkata
101005,Cust_1005,Fixed Deposit,572588,Kolkata
101006,Cust_1006,Savings,502483,Kolkata
101007,Cust_1007,Savings,364181,Mumbai
101008,Cust_1008,Current,472837,Mumbai
101009,Cust_1009,Savings,988885,Chennai
101010,Cust_1010,Savings,16078,Delhi
101011,Cust_1011,Fixed Deposit,341063,Mumbai
101012,Cust_1012,Savings,331409,Mumbai
101013,Cust_1013,Fixed Deposit,37766,Mumbai
101014,Cust_1014,Current,400247,Mumbai
101015,Cust_1015,Current,944152,Kolkata
101016,Cust_1016,Current,241136,Delhi
101017,Cust_1017,Savings,696392,Delhi
101018,Cust_1018,Current,33903,Delhi
101019,Cust_1019,Savings,409209,Mumbai
101020,Cust_1020,Current,74936,Mumbai
101021,Cust_1021,Savings,634097,Delhi
101022,Cust_1022,Fixed Deposit,417609,Kolkata
101023,Cust_1023,Fixed Deposit,23909,Chennai
101024,Cust_1024,Savings,848538,Delhi
101025,Cust_1025,Savings,30553,Delhi
101026,Cust_1026,Fixed Deposit,103065,Kolkata
101027,Cust_1027,Savings,786272,Delhi
101028,Cust_1028,Savings,727351,Chennai
101029,Cust_1029,Fixed Deposit,847923,Delhi
101030,Cust_1030,Fixed Deposit,876799,Mumbai
101031,Cust_1031,Fixed Deposit,736380,Mumbai
101032,Cust_1032,Fixed Deposit,255465,Kolkata
101033,Cust_1033,Savings,24675,Mumbai
101034,Cust_1034,Current,439878,Kolkata
101035,Cust_1035,Fixed Deposit,150333,Delhi
101036,Cust_1036,Fixed Deposit,898213,Chennai
101037,Cust_1037,Current,394435,Chennai
101038,Cust_1038,Fixed Deposit,946942,Chennai
101039,Cust_1039,Savings,756776,Mumbai
101040,Cust_1040,Fixed Deposit,264767,Kolkata
101041,Cust_1041,Current,92128,Mumbai
101042,Cust_1042,Savings,524440,Mumbai
101043,Cust_1043,Savings,542917,Chennai
101044,Cust_1044,Current,962473,Chennai
101045,Cust_1045,Fixed Deposit,906226,Kolkata
101046,Cust_1046,Fixed Deposit,189011,Mumbai
101047,Cust_1047,Savings,756161,Delhi
101048,Cust_1048,Current,317110,Delhi
101049,Cust_1049,Current,90288,Kolkata
101050,Cust_1050,Savings,449048,Delhi
101051,Cust_1051,Current,911155,Kolkata
101052,Cust_1052,Savings,384904,Mumbai
101053,Cust_1053,Savings,22552,Delhi
101054,Cust_1054,Fixed Deposit,455959,Chennai
101055,Cust_1055,Savings,655162,Kolkata
101056,Cust_1056,Fixed Deposit,690972,Mumbai
101057,Cust_1057,Savings,184692,Delhi
101058,Cust_1058,Fixed Deposit,297294,Kolkata
101059,Cust_1059,Fixed Deposit,963221,Delhi
101060,Cust_1060,Current,768240,Delhi
101061,Cust_1061,Fixed Deposit,266003,Kolkata
101062,Cust_1062,Fixed Deposit,313070,Kolkata
101063,Cust_1063,Fixed Deposit,559158,Delhi
101064,Cust_1064,Fixed Deposit,859648,Delhi
101065,Cust_1065,Savings,300115,Mumbai
101066,Cust_1066,Current,474971,Chennai
101067,Cust_1067,Current,19909,Kolkata
101068,Cust_1068,Fixed Deposit,312118,Mumbai
101069,Cust_1069,Fixed Deposit,995677,Chennai
101070,Cust_1070,Savings,904379,Mumbai
101071,Cust_1071,Savings,425082,Kolkata
101072,Cust_1072,Savings,453659,Mumbai
101073,Cust_1073,Savings,461610,Kolkata
101074,Cust_1074,Current,891419,Mumbai
101075,Cust_1075,Current,351206,Chennai
101076,Cust_1076,Savings,520640,Delhi
101077,Cust_1077,Savings,373366,Delhi
101078,Cust_1078,Current,424972,Mumbai
101079,Cust_1079,Current,697982,Mumbai
101080,Cust_1080,Fixed Deposit,362326,Kolkata
101081,Cust_1081,Fixed Deposit,193279,Kolkata
101082,Cust_1082,Fixed Deposit,477981,Mumbai
101083,Cust_1083,Fixed Deposit,8865,Mumbai
101084,Cust_1084,Current,623251,Mumbai
101085,Cust_1085,Fixed Deposit,477116,Kolkata
101086,Cust_1086,Fixed Deposit,460081,Mumbai
101087,Cust_1087,Savings,690384,Chennai
101088,Cust_1088,Current,381840,Chennai
101089,Cust_1089,Fixed Deposit,169083,Kolkata
101090,Cust_1090,Current,973515,Mumbai
101091,Cust_1091,Fixed Deposit,329560,Delhi
101092,Cust_1092,Savings,958524,Kolkata
101093,Cust_1093,Current,247468,Chennai
101094,Cust_1094,Fixed Deposit,808318,Kolkata
101095,Cust_1095,Savings,506396,Delhi
101096,Cust_1096,Savings,663065,Mumbai
101097,Cust_1097,Savings,84710,Kolkata
101098,Cust_1098,Savings,84833,Kolkata
101099,Cust_1099,Fixed Deposit,31806,Delhi
101100,Cust_1100,Savings,731660,Kolkata
101101,Cust_1101,Savings,885933,Mumbai
101102,Cust_1102,Fixed Deposit,272697,Kolkata
101103,Cust_1103,Fixed Deposit,366597,Kolkata
101104,Cust_1104,Current,293657,Kolkata
101105,Cust_1105,Current,284478,Chennai
101106,Cust_1106,Current,61973,Chennai
101107,Cust_1107,Savings,704545,Chennai
101108,Cust_1108,Current,774262,Kolkata
101109,Cust_1109,Savings,427792,Delhi
101110,Cust_1110,Current,376774,Mumbai
101111,Cust_1111,Current,235602,Mumbai
101112,Cust_1112,Savings,866300,Delhi
101113,Cust_1113,Savings,178920,Kolkata
101114,Cust_1114,Current,729520,Chennai
101115,Cust_1115,Savings,220868,Delhi
101116,Cust_1116,Savings,5151,Chennai
101117,Cust_1117,Current,922185,Chennai
101118,Cust_1118,Savings,310803,Kolkata
101119,Cust_1119,Current,664782,Chennai
101120,Cust_1120,Fixed Deposit,682660,Mumbai
101121,Cust_1121,Fixed Deposit,533611,Mumbai
101122,Cust_1122,Savings,581210,Delhi
101123,Cust_1123,Savings,734983,Chennai
101124,Cust_1124,Savings,404526,Delhi
101125,Cust_1125,Current,567195,Mumbai
101126,Cust_1126,Fixed Deposit,26558,Mumbai
101127,Cust_1127,Savings,564534,Mumbai
101128,Cust_1128,Current,827045,Chennai
101129,Cust_1129,Current,719810,Kolkata
101130,Cust_1130,Current,950544,Delhi
101131,Cust_1131,Current,382894,Delhi
101132,Cust_1132,Current,53196,Chennai
101133,Cust_1133,Savings,929058,Kolkata
101134,Cust_1134,Savings,902903,Kolkata
101135,Cust_1135,Fixed Deposit,506190,Delhi
101136,Cust_1136,Fixed Deposit,764800,Kolkata
101137,Cust_1137,Current,389071,Chennai
101138,Cust_1138,Current,751787,Delhi
101139,Cust_1139,Fixed Deposit,869476,Kolkata
101140,Cust_1140,Current,197373,Mumbai
101141,Cust_1141,Savings,254987,Delhi
101142,Cust_1142,Current,912290,Mumbai
101143,Cust_1143,Savings,260493,Delhi
101144,Cust_1144,Fixed Deposit,652651,Kolkata
101145,Cust_1145,Current,564817,Delhi
101146,Cust_1146,Savings,155071,Delhi
101147,Cust_1147,Savings,964004,Delhi
101148,Cust_1148,Current,519640,Delhi
101149,Cust_1149,Savings,399065,Kolkata
101150,Cust_1150,Fixed Deposit,649081,Chennai
101151,Cust_1151,Current,31982,Chennai
101152,Cust_1152,Fixed Deposit,12042,Delhi
101153,Cust_1153,Current,504487,Kolkata
101154,Cust_1154,Current,395264,Kolkata
101155,Cust_1155,Current,237945,Kolkata
101156,Cust_1156,Savings,316250,Chennai
101157,Cust_1157,Fixed Deposit,463421,Chennai
101158,Cust_1158,Fixed Deposit,548780,Kolkata
101159,Cust_1159,Fixed Deposit,355092,Mumbai
101160,Cust_1160,Savings,528586,Delhi
101161,Cust_1161,Current,485064,Kolkata
101162,Cust_1162,Fixed Deposit,136271,Mumbai
101163,Cust_1163,Savings,366449,Mumbai
101164,Cust_1164,Current,714171,Kolkata
101165,Cust_1165,Savings,216946,Chennai
101166,Cust_1166,Savings,750027,Chennai
101167,Cust_1167,Savings,891207,Kolkata
101168,Cust_1168,Current,968221,Delhi
101169,Cust_1169,Savings,670231,Mumbai
101170,Cust_1170,Savings,57967,Mumbai
101171,Cust_1171,Current,185381,Chennai
101172,Cust_1172,Current,516576,Kolkata
101173,Cust_1173,Fixed Deposit,982997,Chennai
101174,Cust_1174,Savings,586475,Kolkata
101175,Cust_1175,Current,732270,Kolkata
101176,Cust_1176,Fixed Deposit,751840,Chennai
101177,Cust_1177,Current,772653,Chennai
101178,Cust_1178,Savings,357059,Kolkata
101179,Cust_1179,Fixed Deposit,244360,Kolkata
101180,Cust_1180,Savings,501280,Mumbai
101181,Cust_1181,Savings,386899,Mumbai
101182,Cust_1182,Savings,652188,Kolkata
101183,Cust_1183,Current,822292,Mumbai
101184,Cust_1184,Savings,674063,Kolkata
101185,Cust_1185,Savings,40538,Kolkata
101186,Cust_1186,Current,808570,Mumbai
101187,Cust_1187,Current,293040,Mumbai
101188,Cust_1188,Current,136060,Chennai
101189,Cust_1189,Fixed Deposit,603026,Mumbai
101190,Cust_1190,Savings,143195,Delhi
101191,Cust_1191,Savings,636326,Chennai
101192,Cust_1192,Current,966150,Mumbai
101193,Cust_1193,Savings,159076,Delhi
101194,Cust_1194,Current,533793,Mumbai
101195,Cust_1195,Current,441074,Delhi
101196,Cust_1196,Fixed Deposit,111225,Delhi
101197,Cust_1197,Current,918710,Mumbai
101198,Cust_1198,Fixed Deposit,624090,Mumbai
101199,Cust_1199,Fixed Deposit,382321,Mumbai
101200,Cust_1200,Fixed Deposit,817794,Delhi
101201,Cust_1201,Current,662962,Chennai
101202,Cust_1202,Fixed Deposit,199886,Kolkata
101203,Cust_1203,Savings,568518,Mumbai
101204,Cust_1204,Current,315657,Kolkata
101205,Cust_1205,Savings,604625,Mumbai
101206,Cust_1206,Current,485197,Mumbai
101207,Cust_1207,Savings,605295,Chennai
101208,Cust_1208,Fixed Deposit,708000,Kolkata
101209,Cust_1209,Current,467812,Kolkata
101210,Cust_1210,Fixed Deposit,471817,Delhi
101211,Cust_1211,Savings,646415,Kolkata
101212,Cust_1212,Savings,304419,Mumbai
