Date,Sales Person,State,Product,Quantity
2024-11-30,Shlok Mangat,Telangana,Flatbed Scanner,580
2025-06-16,Madhup Srinivasan,Uttarakhand,Laser Printer,126
2024-11-12,Alia Ramakrishnan,Maharashtra,Foldable Keyboard,417
2025-02-07,Lakshay Sawhney,Madhya Pradesh,WebCam,154
2025-08-15,Badal Varkey,Tamil Nadu,OMR Scanner,414
2024-09-27,Yuvraj  Rattan,Gujarat,Thermal Printer,400
2024-10-09,Indrajit Jhaveri,Jammu and Kashmir,Thermal Printer,162
2024-10-04,Saanvi Halder,Chhattisgarh,OMR Scanner,420
2025-06-25,Prisha Devan,Arunachal Pradesh,Mouse,491
2025-03-22,Anahi Din,Tamil Nadu,Graphic Pad,354
2025-03-25,Ira Badal,West Bengal,Flatbed Scanner,496
2025-03-21,Shlok Bhattacharyya,Uttarakhand,OCR Scanner,272
2025-06-13,Aaina Deshpande,West Bengal,Flatbed Scanner,505
2025-06-26,Akarsh Wagle,Bihar,Mechanical Keyboard,207
2025-08-18,Arnav Chokshi,Andhra Pradesh,OCR Scanner,121
2025-07-30,Sahil Tank,Andhra Pradesh,WebCam,175
2025-06-27,Indranil Venkatesh,Uttarakhand,Graphic Pad,213
2024-12-20,Ranbir Krishna,Kerala,OCR Scanner,513
2025-02-13,Pranay Saran,Rajasthan,Standard Keyboard,207
2024-10-05,Reyansh Dhar,Punjab,Laser Printer,456
2024-12-03,Aniruddh Yogi,Haryana,Gaming Mouse,209
2025-08-28,Madhav Rana,West Bengal,Laser Printer,228
2024-12-03,Purab Khurana,Punjab,Graphic Pad,554
2025-06-23,Siya Mallick,Odisha,Mechanical Keyboard,468
2024-09-23,Ishaan Dar,Assam,Mechanical Keyboard,315
2025-01-24,Aarav Kar,Andhra Pradesh,OMR Scanner,297
2025-05-04,Akarsh Kaul,Maharashtra,Flatbed Scanner,128
2025-04-25,Dhanush Chadha,Gujarat,Foldable Keyboard,457
2025-06-17,Jivin Chadha,Arunachal Pradesh,OMR Scanner,306
2025-04-14,Miraya Dugal,Madhya Pradesh,Mouse,357
2025-06-16,Yasmin Zachariah,Kerala,Foldable Keyboard,495
2025-07-03,Kiara Dhaliwal,Punjab,Laser Printer,349
2024-10-01,Keya Virk,Odisha,OMR Scanner,135
2025-01-10,Darshit Batta,Haryana,OMR Scanner,333
2024-12-03,Yuvaan Wali,Bihar,Graphic Pad,202
2025-04-12,Farhan Kota,Kerala,Gaming Mouse,427
2025-05-23,Mannat Mann,Andhra Pradesh,Foldable Keyboard,146
2024-09-03,Anahita D’Alia,Tamil Nadu,Thermal Printer,237
2025-02-16,Sahil Bhattacharyya,Gujarat,WebCam,336
2024-12-22,Vivaan Bassi,Kerala,Laser Printer,554
2025-06-18,Anaya Sheth,Odisha,Gaming Mouse,269
2024-11-14,Dhanuk Mani,Punjab,OCR Scanner,132
2024-09-20,Eva Ahuja,Punjab,Foldable Keyboard,478
2025-05-02,Devansh Chadha,Tamil Nadu,OMR Scanner,587
2025-05-19,Samiha Krishna,Chhattisgarh,Standard Keyboard,233
2024-09-04,Hrishita Saran,Uttar Pradesh,WebCam,206
2025-08-09,Heer Khare,Jammu and Kashmir,Standard Keyboard,278
2024-12-03,Riaan Loke,Madhya Pradesh,Mechanical Keyboard,137
2024-11-04,Tejas Ray,Arunachal Pradesh,Mechanical Keyboard,185
2025-03-04,Manjari Mannan,Madhya Pradesh,Gaming Mouse,259
2025-08-31,Onkar Bakshi,Assam,Thermal Printer,124
2025-02-22,Tushar Yogi,Karnataka,Thermal Printer,437
2025-07-31,Jivika Varty,Haryana,Mechanical Keyboard,101
2025-04-09,Ivana Bail,Haryana,OMR Scanner,155
2024-12-22,Zaina Shetty,Jammu and Kashmir,WebCam,577
2024-09-27,Renee Mahal,Telangana,OMR Scanner,139
2025-08-21,Aaina Wadhwa,Arunachal Pradesh,Standard Keyboard,496
2024-10-13,Kismat Wable,Bihar,Mechanical Keyboard,337
2025-07-23,Samiha Warrior,Odisha,WebCam,492
2025-02-08,Dhruv Chokshi,Punjab,Mechanical Keyboard,208
2025-07-17,Vidur Gupta,Telangana,Standard Keyboard,390
2025-03-24,Jivin Sekhon,Arunachal Pradesh,Mechanical Keyboard,287
2025-03-12,Miraya Rajagopal,Arunachal Pradesh,Standard Keyboard,217
2025-07-06,Aarna Thakkar,Karnataka,Standard Keyboard,364
2024-10-19,Manikya Balasubramanian,Kerala,Gaming Mouse,465
2025-03-16,Parinaaz Singh,Rajasthan,Laser Printer,116
2025-08-30,Jayan Kumar,Assam,Thermal Printer,158
2025-01-22,Riya Dhar,Chhattisgarh,OCR Scanner,184
2025-01-31,Manikya Dube,Maharashtra,Mechanical Keyboard,434
2024-09-12,Manikya Dugar,Jammu and Kashmir,Thermal Printer,357
2025-04-02,Nitara Dhar,Assam,OMR Scanner,255
2025-07-12,Onkar Deol,Odisha,Thermal Printer,312
2025-02-18,Hunar Toor,Assam,Mechanical Keyboard,519
2025-06-19,Shlok Barad,Andhra Pradesh,Graphic Pad,465
2024-09-09,Priyansh Garde,Andhra Pradesh,Standard Keyboard,289
2024-12-03,Prisha Rege,Tamil Nadu,OMR Scanner,508
2024-10-28,Divit Lala,Odisha,WebCam,529
2025-08-06,Abram Mani,Andhra Pradesh,Flatbed Scanner,276
2025-01-21,Aaryahi Amble,Himachal Pradesh,Gaming Mouse,195
2024-10-25,Dhanush Kalita,Jammu and Kashmir,Mouse,169
2025-09-02,Yakshit Srinivas,Punjab,Gaming Mouse,260
2024-10-22,Dharmajan Apte,Tamil Nadu,Thermal Printer,170
2025-05-23,Damini Halder,Telangana,OMR Scanner,445
2025-08-23,Ivana Badal,Uttarakhand,WebCam,369
2025-03-29,Arnav Mann,Bihar,Mechanical Keyboard,415
2024-11-28,Vaibhav Magar,Andhra Pradesh,Gaming Mouse,340
2025-02-11,Anahita Kaur,Karnataka,Flatbed Scanner,399
2024-12-26,Yuvraj  Saini,Karnataka,WebCam,257
2025-06-04,Jivika Gopal,Jammu and Kashmir,Mechanical Keyboard,469
2024-12-16,Uthkarsh Yadav,Madhya Pradesh,Flatbed Scanner,263
2024-10-18,Bhavin Khare,Telangana,WebCam,305
2025-05-02,Taran Dara,Kerala,Flatbed Scanner,135
2024-11-25,Saira Deshpande,Bihar,Mechanical Keyboard,571
2024-10-31,Mishti Varkey,Bihar,Gaming Mouse,400
2024-10-05,Ela Chahal,Tamil Nadu,Mechanical Keyboard,522
2024-09-04,Misha Goswami,Bihar,Foldable Keyboard,147
2025-04-26,Saira Barad,Jammu and Kashmir,Gaming Mouse,531
2024-09-09,Saira Kumar,Punjab,OMR Scanner,110
2025-05-06,Anika Chatterjee,Maharashtra,Flatbed Scanner,189
2024-12-10,Ryan Mall,Rajasthan,Flatbed Scanner,348
2025-06-26,Ivan Mallick,Tamil Nadu,Flatbed Scanner,570
2025-03-01,Taran Wali,Karnataka,Thermal Printer,588
2024-12-20,Dhruv Kurian,Assam,Graphic Pad,367
2024-09-06,Aarna Wadhwa,Andhra Pradesh,Gaming Mouse,460
2025-02-10,Lagan Luthra,Odisha,WebCam,325
2025-08-25,Rohan Bhalla,Haryana,WebCam,259
2025-09-02,Nitara Badami,Tamil Nadu,Flatbed Scanner,219
2024-09-03,Rasha Reddy,Odisha,OCR Scanner,199
2025-06-24,Saksham Bakshi,Tamil Nadu,Mechanical Keyboard,213
2024-11-03,Zaina Suri,Chhattisgarh,Standard Keyboard,374
2024-09-10,Anay Goyal,Assam,WebCam,307
2025-04-04,Ivan Sachar,Bihar,Foldable Keyboard,228
2024-12-02,Ira Dhawan,Karnataka,Foldable Keyboard,448
2024-11-09,Raghav Wason,Maharashtra,Flatbed Scanner,528
2025-05-16,Azad Sarkar,Chhattisgarh,Thermal Printer,104
2025-06-29,Kashvi Bir,Uttar Pradesh,Flatbed Scanner,564
2025-04-30,Rati Mammen,Bihar,OMR Scanner,336
2025-04-23,Eshani Swamy,Maharashtra,Mouse,141
2025-06-19,Oorja Mand,Uttarakhand,Mouse,410
2025-02-01,Ranbir Halder,Tamil Nadu,WebCam,244
2025-05-08,Rati Tata,Haryana,Mechanical Keyboard,160
2024-11-04,Sumer Yohannan,Haryana,Standard Keyboard,314
2024-10-19,Ryan Vasa,Uttar Pradesh,Foldable Keyboard,154
2025-02-27,Faiyaz Bath,Andhra Pradesh,Thermal Printer,535
2025-07-28,Onkar Soni,West Bengal,Foldable Keyboard,455
2024-09-19,Uthkarsh Gaba,Assam,Flatbed Scanner,526
2024-10-14,Sahil Rajagopal,Haryana,Foldable Keyboard,292
2024-11-15,Hazel Thakkar,Uttar Pradesh,Gaming Mouse,199
2024-10-16,Navya Dar,Gujarat,Mouse,130
2025-01-28,Aaina Madan,Gujarat,OMR Scanner,165
2025-07-05,Rhea Garde,Odisha,Mechanical Keyboard,277
2025-07-19,Devansh Badal,Gujarat,Laser Printer,233
2025-05-07,Misha Chakrabarti,Kerala,Thermal Printer,238
2024-11-08,Indrans Gera,Tamil Nadu,OCR Scanner,479
2024-12-30,Darshit Ratti,Jammu and Kashmir,WebCam,330
2024-10-05,Navya Som,Telangana,Standard Keyboard,459
2025-06-12,Kismat Kulkarni,Madhya Pradesh,Mechanical Keyboard,519
2024-10-10,Arhaan Tiwari,Andhra Pradesh,Gaming Mouse,418
2025-03-23,Saanvi Raju,Tamil Nadu,Gaming Mouse,521
2025-07-04,Adah Date,Haryana,Laser Printer,510
2025-07-12,Hrishita Sethi,Rajasthan,WebCam,577
2025-06-17,Samarth Ratta,Madhya Pradesh,Flatbed Scanner,599
2025-01-11,Miraya Jani,Telangana,Thermal Printer,293
2025-07-14,Akarsh Bhargava,Chhattisgarh,Mouse,161
2025-01-24,Zara Bera,Uttarakhand,Foldable Keyboard,172
2025-03-31,Hrishita Kapoor,Haryana,Gaming Mouse,574
2025-01-01,Emir Joshi,West Bengal,Standard Keyboard,272
2025-01-01,Eshani Sachdeva,Gujarat,Mechanical Keyboard,504
2024-10-01,Tanya Madan,Punjab,Foldable Keyboard,430
2024-11-19,Heer Brahmbhatt,Assam,Flatbed Scanner,169
2024-12-31,Pranay Sathe,Jammu and Kashmir,Gaming Mouse,275
2025-02-08,Ehsaan Chaudhry,Jammu and Kashmir,WebCam,214
2024-10-20,Sumer Iyengar,Odisha,Gaming Mouse,352
2025-05-31,Suhana Salvi,Uttarakhand,Standard Keyboard,446
2024-10-20,Tara Seth,Chhattisgarh,Laser Printer,294
2024-12-10,Uthkarsh Mahajan,Bihar,Mouse,418
2024-09-08,Drishya Wadhwa,Gujarat,Flatbed Scanner,539
2025-08-04,Damini Acharya,Uttarakhand,Foldable Keyboard,218
2024-10-17,Romil Venkataraman,Haryana,Laser Printer,151
2025-03-31,Biju Butala,Uttarakhand,Flatbed Scanner,359
2025-06-26,Mehul Bali,Uttar Pradesh,Gaming Mouse,532
2025-07-09,Jiya Koshy,Andhra Pradesh,Mechanical Keyboard,230
2025-08-18,Hazel Dhillon,Andhra Pradesh,OMR Scanner,407
2025-02-10,Anahi Jha,Punjab,Graphic Pad,594
2025-03-31,Anika Chanda,Gujarat,Thermal Printer,175
2025-04-14,Veer Kaur,Assam,WebCam,329
2025-07-22,Devansh Madan,Chhattisgarh,Standard Keyboard,512
2025-07-10,Ayesha Lal,Himachal Pradesh,Mouse,578
2024-10-03,Bhavin Sahota,Maharashtra,WebCam,314
2025-08-03,Elakshi Gopal,Uttar Pradesh,OCR Scanner,528
2025-05-27,Tushar Kar,Uttarakhand,OCR Scanner,433
2025-05-09,Damini Arya,Uttarakhand,Graphic Pad,551
2024-11-07,Divyansh Kant,Uttarakhand,WebCam,296
2025-08-11,Anya Dugal,Andhra Pradesh,Gaming Mouse,189
2024-12-08,Romil Solanki,Rajasthan,Laser Printer,438
2025-06-10,Pari Trivedi,Jammu and Kashmir,Mechanical Keyboard,444
2024-09-14,Indrans Kumer,Haryana,Thermal Printer,482
2025-02-08,Navya Rastogi,Bihar,Gaming Mouse,246
2024-11-12,Zeeshan Basak,Uttarakhand,Standard Keyboard,577
2025-03-01,Riaan Srinivas,Jammu and Kashmir,Flatbed Scanner,212
2024-11-29,Aarush Chana,Kerala,Standard Keyboard,222
2025-04-24,Himmat Bajaj,Assam,OMR Scanner,470
2025-04-07,Tiya Sankar,Jammu and Kashmir,Mechanical Keyboard,185
2025-08-01,Romil Madan,Madhya Pradesh,Flatbed Scanner,101
2025-04-27,Prisha Bajaj,Andhra Pradesh,Mouse,338
2025-08-09,Lakshit Taneja,Odisha,Foldable Keyboard,248
2025-08-23,Aarna Tailor,Jammu and Kashmir,Mechanical Keyboard,574
2025-07-10,Tiya Karnik,Haryana,Foldable Keyboard,296
2025-02-27,Riya Ravel,Punjab,Graphic Pad,488
2024-12-04,Alisha Madan,Odisha,Mouse,445
2025-02-01,Nitara Ahluwalia,Himachal Pradesh,Foldable Keyboard,425
2024-09-13,Aaryahi Mangal,Punjab,WebCam,406
2024-09-13,Siya Kade,Bihar,Mechanical Keyboard,175
2025-09-03,Tushar Garg,Uttarakhand,Mechanical Keyboard,466
2025-08-04,Charvi Ramanathan,Maharashtra,OMR Scanner,161
2025-03-30,Stuvan Deo,Assam,OMR Scanner,166
2025-04-29,Raghav Bandi,Andhra Pradesh,Mechanical Keyboard,514
2024-12-23,Ojas Varughese,Assam,Standard Keyboard,244
2025-03-29,Parinaaz Shanker,Kerala,Graphic Pad,175
2025-05-10,Kaira Wali,Telangana,Flatbed Scanner,298
2025-07-04,Arhaan Bumb,Telangana,Mechanical Keyboard,375
2025-03-19,Divij Jani,Odisha,Flatbed Scanner,226
2025-06-17,Yuvaan Mahajan,Telangana,OMR Scanner,579
2024-09-19,Anya Butala,Gujarat,Standard Keyboard,589
2024-11-10,Sara Devi,Punjab,Flatbed Scanner,369
2025-05-26,Zeeshan Suri,Tamil Nadu,OMR Scanner,532
2025-04-03,Vedika Kale,Madhya Pradesh,Foldable Keyboard,582
2025-06-05,Manikya Chanda,Uttarakhand,Standard Keyboard,416
2025-06-01,Jayant Banerjee,Rajasthan,Foldable Keyboard,413
2025-04-27,Aaryahi Gill,Tamil Nadu,Standard Keyboard,128
2025-06-12,Anaya Madan,Gujarat,Gaming Mouse,138
2025-04-17,Advika Manne,Tamil Nadu,Gaming Mouse,356
2024-09-04,Trisha Gour,Jammu and Kashmir,WebCam,468
2024-12-14,Ojas Lata,Bihar,Foldable Keyboard,229
2025-07-24,Alia Vig,Haryana,Mouse,576
2025-01-15,Vedika Sharma,Maharashtra,Mouse,379
2025-04-11,Neysa Grover,Haryana,Foldable Keyboard,139
2025-05-12,Baiju Dass,Arunachal Pradesh,WebCam,434
2025-07-09,Anya Kothari,Kerala,OMR Scanner,287
2024-09-09,Shlok Chada,Kerala,Thermal Printer,313
2024-12-07,Ela Chand,Chhattisgarh,Graphic Pad,577
2025-03-26,Advika Bal,Himachal Pradesh,Thermal Printer,409
2024-12-29,Anahi Chadha,Maharashtra,OMR Scanner,172
2025-02-28,Vanya Grewal,Odisha,Standard Keyboard,115
2025-05-02,Ranbir Rama,Himachal Pradesh,OCR Scanner,517
2024-10-03,Tara Gade,Karnataka,Flatbed Scanner,178
2025-02-03,Dharmajan Joshi,Odisha,Standard Keyboard,528
2025-08-08,Hridaan Kashyap,Maharashtra,Thermal Printer,471
2025-04-05,Diya Majumdar,Haryana,Standard Keyboard,581
2025-06-10,Anahi Dhar,Tamil Nadu,WebCam,213
2025-03-21,Shalv Sahota,Tamil Nadu,Thermal Printer,587
2024-10-28,Rati Dewan,Jammu and Kashmir,OMR Scanner,447
2025-03-07,Misha Luthra,Bihar,Laser Printer,330
2025-04-03,Parinaaz Chaudhuri,Assam,WebCam,121
2025-01-12,Ojas Dada,Rajasthan,Flatbed Scanner,202
2025-04-08,Reyansh Sura,Jammu and Kashmir,Mechanical Keyboard,560
2025-01-27,Samarth Kata,Punjab,Laser Printer,150
2024-11-21,Anahita Kala,Tamil Nadu,Standard Keyboard,176
2024-09-27,Madhav Gupta,Uttarakhand,Mouse,146
2025-05-20,Vivaan Basu,Gujarat,Graphic Pad,277
2025-09-02,Piya Dutt,Odisha,Foldable Keyboard,489
2025-04-12,Manjari D’Alia,Himachal Pradesh,OCR Scanner,270
2025-04-09,Nehmat Baral,Maharashtra,Graphic Pad,259
2025-01-10,Heer Bedi,Haryana,OCR Scanner,146
2025-04-04,Dharmajan Jani,Maharashtra,Gaming Mouse,519
2024-12-07,Tiya Chaudhari,Haryana,WebCam,205
2025-08-28,Nakul Deep,Telangana,Standard Keyboard,561
2024-11-04,Akarsh Borde,Bihar,Flatbed Scanner,468
2024-09-19,Darshit Saha,Telangana,Flatbed Scanner,155
2024-09-03,Shray Seth,Kerala,Foldable Keyboard,456
2025-02-04,Arhaan Dass,Rajasthan,Foldable Keyboard,464
2025-03-27,Aaryahi Toor,Madhya Pradesh,Mouse,364
2025-05-09,Darshit Sachar,Gujarat,Laser Printer,209
2025-07-04,Vaibhav Sunder,Assam,Mouse,251
2025-05-30,Zain Ganesan,Tamil Nadu,Flatbed Scanner,215
2025-02-25,Divyansh Saini,Uttarakhand,Gaming Mouse,241
2025-09-01,Samaira Chand,Arunachal Pradesh,Thermal Printer,354
2025-01-18,Shaan Madan,Kerala,Graphic Pad,595
2025-05-29,Jivika Shenoy,Himachal Pradesh,Graphic Pad,216
2024-12-18,Riya Mallick,Tamil Nadu,OMR Scanner,278
2024-11-03,Taran Bava,Punjab,Foldable Keyboard,271
2025-06-01,Kismat Ganguly,Rajasthan,Gaming Mouse,516
2025-04-02,Anaya Sarin,Gujarat,Thermal Printer,241
2025-01-24,Nitara Chahal,Gujarat,Graphic Pad,496
2025-02-02,Anika Sem,Jammu and Kashmir,Flatbed Scanner,449
2025-03-10,Faiyaz Taneja,Rajasthan,Graphic Pad,183
2024-11-03,Ryan Kurian,West Bengal,Graphic Pad,150
2025-01-17,Vedika Hayer,Tamil Nadu,OMR Scanner,551
2025-06-23,Siya Trivedi,Rajasthan,Mechanical Keyboard,527
2025-05-03,Jayesh Sangha,Himachal Pradesh,Graphic Pad,305
2025-08-04,Sara Chana,West Bengal,Standard Keyboard,563
2024-11-26,Kiara Rastogi,Telangana,Foldable Keyboard,246
2025-07-30,Eshani Kashyap,Haryana,Standard Keyboard,410
2024-10-18,Saksham Zacharia,Karnataka,OMR Scanner,394
2025-05-28,Tushar Master,Rajasthan,Flatbed Scanner,443
2024-11-25,Ranbir Choudhary,Telangana,Foldable Keyboard,265
2025-08-21,Riaan Raju,Punjab,OMR Scanner,480
2025-05-10,Nitara Handa,Haryana,Standard Keyboard,357
2024-10-10,Ahana  Saraf,Uttar Pradesh,Mechanical Keyboard,410
2025-06-05,Onkar Chaudhry,Madhya Pradesh,Laser Printer,135
2024-09-03,Eshani Bali,Punjab,WebCam,391
2025-07-17,Nakul Shan,Himachal Pradesh,Mouse,365
2024-09-08,Urvi Agate,Assam,Gaming Mouse,317
2025-04-06,Oorja Krishnamurthy,Rajasthan,OMR Scanner,594
2025-01-11,Aayush Sura,Gujarat,Flatbed Scanner,471
2024-09-05,Misha Chakrabarti,Uttar Pradesh,Flatbed Scanner,254
2025-05-13,Hunar Sane,Gujarat,OMR Scanner,464
2024-11-27,Nakul Dass,Punjab,Mouse,378
2024-12-22,Taran Dhawan,Kerala,Foldable Keyboard,494
2025-07-20,Indrans Tripathi,Andhra Pradesh,WebCam,420
2024-12-04,Nehmat Solanki,Karnataka,Graphic Pad,166
2025-03-23,Ryan Chowdhury,Maharashtra,Laser Printer,114
2024-11-13,Vardaniya Dara,Odisha,Laser Printer,436
2024-10-09,Eva Baria,Arunachal Pradesh,Gaming Mouse,112
2025-03-26,Seher Wali,Assam,Foldable Keyboard,157
2024-12-08,Vedika Ramakrishnan,Chhattisgarh,Laser Printer,183
2024-10-30,Shalv Dada,Punjab,Mouse,476
2025-06-26,Devansh Karnik,Bihar,OMR Scanner,476
2024-10-05,Mishti Mahal,Arunachal Pradesh,Foldable Keyboard,531
2024-09-23,Indrans Kohli,Madhya Pradesh,Gaming Mouse,359
2025-06-05,Yashvi Rajagopal,Punjab,Foldable Keyboard,147
2024-12-11,Anahi Saini,Uttar Pradesh,Graphic Pad,153
2024-09-06,Advik Mahajan,Maharashtra,Mechanical Keyboard,110
2024-11-18,Abram Khatri,Tamil Nadu,WebCam,150
2024-11-02,Tarini Tara,Uttarakhand,OCR Scanner,437
2025-06-14,Uthkarsh Manne,Telangana,Standard Keyboard,542
2024-11-18,Rasha Luthra,Gujarat,Foldable Keyboard,525
2024-11-18,Nitara Krishnamurthy,Arunachal Pradesh,Mechanical Keyboard,246
2024-10-04,Zain Arora,Kerala,Mouse,323
2024-09-24,Amira Magar,Madhya Pradesh,Thermal Printer,219
2024-11-29,Divyansh Reddy,Punjab,Laser Printer,529
2025-02-27,Riaan Bansal,Odisha,Foldable Keyboard,284
2024-12-04,Azad Yadav,Chhattisgarh,Gaming Mouse,230
2025-07-01,Zeeshan Rajagopal,Kerala,Gaming Mouse,587
2025-04-12,Madhav Sampath,Rajasthan,WebCam,595
2024-11-06,Ayesha Jain,Andhra Pradesh,OMR Scanner,410
2025-08-04,Rohan Dube,Jammu and Kashmir,Standard Keyboard,132
2024-12-03,Indrajit Badami,Andhra Pradesh,OMR Scanner,212
2025-03-28,Alia Baral,Himachal Pradesh,OCR Scanner,433
2025-04-06,Vivaan Ravel,Chhattisgarh,OMR Scanner,238
2024-11-28,Miraan Balakrishnan,Kerala,Flatbed Scanner,107
2025-04-10,Miraan Walia,Gujarat,OCR Scanner,312
2025-08-27,Tanya Sarma,West Bengal,OMR Scanner,308
2024-10-19,Zara Kale,Gujarat,Mouse,156
2025-05-15,Mishti Sarkar,Andhra Pradesh,Gaming Mouse,552
2025-01-06,Faiyaz Saraf,Maharashtra,Mechanical Keyboard,450
2025-01-15,Anahita Dora,Telangana,Standard Keyboard,539
2025-05-09,Kimaya Wason,West Bengal,WebCam,150
2025-08-13,Mannat Garde,Arunachal Pradesh,OCR Scanner,446
2024-09-21,Raghav Badal,Madhya Pradesh,Gaming Mouse,443
2025-02-04,Lakshay Sangha,Madhya Pradesh,Flatbed Scanner,462
2025-01-28,Purab Ganesan,Maharashtra,Standard Keyboard,320
2025-08-21,Navya Sankar,Haryana,Thermal Printer,115
2025-02-20,Pari Raman,Bihar,OCR Scanner,270
2025-07-16,Vihaan Iyengar,Himachal Pradesh,OCR Scanner,169
2025-07-26,Chirag Wali,Kerala,WebCam,518
2024-10-29,Romil Chanda,Bihar,Laser Printer,534
2024-10-09,Raunak Kala,Gujarat,Thermal Printer,219
2024-12-08,Lakshit Hayre,Haryana,Graphic Pad,122
2025-03-31,Yashvi Bose,Andhra Pradesh,Flatbed Scanner,144
2025-04-02,Tarini Vasa,Andhra Pradesh,Standard Keyboard,600
2024-12-15,Damini Dhillon,Maharashtra,Gaming Mouse,416
2024-11-25,Prerak Tata,Rajasthan,OMR Scanner,571
2025-02-03,Lakshit Yohannan,Telangana,OCR Scanner,320
2024-09-19,Dhanush Date,Bihar,OCR Scanner,350
2025-07-02,Nitara Bera,Telangana,Graphic Pad,401
2025-08-14,Hridaan Agarwal,Bihar,Foldable Keyboard,260
2025-03-10,Indrans Saini,Jammu and Kashmir,OCR Scanner,428
2025-06-19,Dhruv Tripathi,Assam,Mouse,534
2025-07-18,Anvi Srinivasan,Odisha,Thermal Printer,240
2024-12-17,Keya Srinivas,Haryana,Laser Printer,568
2025-08-17,Tarini Dora,Maharashtra,Flatbed Scanner,439
2025-08-04,Nitara Gandhi,Uttarakhand,Thermal Printer,523
2025-04-30,Dhanuk Gara,Uttar Pradesh,WebCam,187
2025-03-20,Amani Ganesh,Tamil Nadu,Standard Keyboard,427
2025-07-29,Khushi Shanker,Assam,Laser Printer,511
2025-07-26,Riya Balakrishnan,West Bengal,Thermal Printer,417
2025-08-29,Krish Sule,Rajasthan,OCR Scanner,470
2024-11-23,Alisha Swaminathan,Jammu and Kashmir,OCR Scanner,439
2025-01-19,Yakshit Chaudhari,Andhra Pradesh,OCR Scanner,272
2025-01-29,Ahana  Chana,Karnataka,Graphic Pad,114
2024-10-21,Piya Sem,Haryana,Standard Keyboard,307
2025-02-23,Saksham Mannan,Assam,Thermal Printer,138
2025-03-10,Yuvaan Dar,Jammu and Kashmir,WebCam,192
2025-05-02,Indrans D’Alia,Maharashtra,Standard Keyboard,244
2025-01-12,Mishti Acharya,Chhattisgarh,Gaming Mouse,406
2025-02-14,Aaryahi Master,Madhya Pradesh,Mechanical Keyboard,111
2024-09-03,Yuvraj  Sarna,Haryana,Foldable Keyboard,580
2024-12-01,Jivika Yogi,West Bengal,Graphic Pad,390
2025-02-01,Tiya Mahal,Punjab,Standard Keyboard,169
2025-04-19,Inaaya  Chhabra,Arunachal Pradesh,Standard Keyboard,104
2024-12-09,Ira Sampath,West Bengal,Gaming Mouse,190
2025-05-14,Akarsh Krishnamurthy,Bihar,Flatbed Scanner,577
2025-04-09,Tushar Kalla,Arunachal Pradesh,Flatbed Scanner,446
2025-06-06,Aaina Mane,Madhya Pradesh,OCR Scanner,541
2025-07-30,Hazel Khurana,Odisha,Foldable Keyboard,428
2024-09-08,Himmat Thakur,Jammu and Kashmir,OMR Scanner,394
2025-02-13,Kimaya Jaggi,Odisha,WebCam,171
2024-09-26,Aayush Madan,Assam,WebCam,203
2024-09-27,Tanya Balay,Telangana,Thermal Printer,196
2024-10-09,Kimaya Dara,Kerala,Flatbed Scanner,218
2025-07-16,Urvi Singh,Himachal Pradesh,OMR Scanner,534
2025-01-11,Chirag Das,Maharashtra,OMR Scanner,544
2024-09-26,Divij Keer,Tamil Nadu,Mouse,262
2025-06-24,Saksham Varty,Telangana,Standard Keyboard,115
2025-01-24,Mishti Tara,Punjab,OMR Scanner,105
2025-04-30,Reyansh Butala,Gujarat,Mechanical Keyboard,453
2024-11-01,Onkar Bhat,West Bengal,Flatbed Scanner,176
2025-06-30,Manjari Kannan,Odisha,Gaming Mouse,120
2025-05-29,Miraan Solanki,Assam,Standard Keyboard,463
2024-12-05,Manjari Sethi,Assam,OMR Scanner,241
2025-04-20,Nirvaan Bajwa,Maharashtra,Foldable Keyboard,149
2025-05-08,Aniruddh Walia,Kerala,Foldable Keyboard,471
2025-01-15,Rasha Venkataraman,Gujarat,Mechanical Keyboard,210
2025-03-10,Arnav Deep,Odisha,Graphic Pad,334
2025-04-13,Trisha Upadhyay,Haryana,Flatbed Scanner,330
2024-09-23,Samaira Deol,Uttar Pradesh,WebCam,198
2025-06-14,Drishya Borde,Chhattisgarh,Flatbed Scanner,517
2024-10-10,Rania Sarin,Uttar Pradesh,Thermal Printer,424
2025-09-03,Piya Saini,Odisha,Standard Keyboard,129
2025-05-13,Trisha Bhatnagar,Gujarat,OMR Scanner,463
2025-03-26,Trisha Ben,Chhattisgarh,Mechanical Keyboard,544
2025-05-30,Vedika Batra,Punjab,Laser Printer,450
2025-01-23,Keya Setty,Chhattisgarh,Graphic Pad,490
2025-09-02,Jayan Basak,Tamil Nadu,Graphic Pad,465
2025-08-26,Nakul Gill,Gujarat,Mechanical Keyboard,485
2025-01-15,Kabir Kuruvilla,Haryana,WebCam,146
2025-05-14,Purab Sankaran,Bihar,Flatbed Scanner,211
2025-07-14,Indrans Hayre,Tamil Nadu,Standard Keyboard,509
2024-12-08,Rania Sachar,Haryana,OMR Scanner,305
2025-07-03,Shanaya Thaker,Telangana,Gaming Mouse,283
2025-08-20,Arnav Karan,West Bengal,WebCam,170
2025-04-25,Madhup Tripathi,Chhattisgarh,Thermal Printer,552
2025-01-08,Zaina Khanna,Bihar,Mouse,286
2025-07-29,Emir Vyas,Odisha,WebCam,124
2025-06-12,Anay Bhandari,Gujarat,OMR Scanner,117
